"year","year_type","grid","squirrel_id","sex","cache_size_total","cache_size_new","cache_size_old","total_cones_tree","log_cache_size_new","log_cache_size_old","log_total_cones_tree"
2008,"non-mast","KL",10462,"F",827.981470069154,823.19545001095,4.7860200582032,43.465,6.71440769839803,1.75544467322668,3.7947023628516
2012,"non-mast","KL",10531,"M",36769.3967671558,1368.16360063835,35401.2331665174,129.998,7.22195532190181,10.4745301809321,4.87518205590903
2009,"non-mast","SU",10616,"F",2984.5130209103,1156.49879560274,1828.01422530756,38.197,7.05401674544386,7.51153242600281,3.66860021325556
2008,"non-mast","KL",10642,"M",20990.5513149602,5090.95089514226,15899.6004198179,43.465,8.53541631610021,9.67411214974805,3.7947023628516
2009,"non-mast","KL",10642,"M",6288.3885700121,2371.5097543786,3916.8788156335,93.163,7.77170364191023,8.27330566786624,4.54502732310718
2011,"post-mast","SU",10654,"F",54932.7001351182,0,54932.7001351182,0.085,0,10.9138822849841,0.0815799869924228
2012,"non-mast","SU",10654,"F",8416.50125189226,1419.65081357219,6996.85043832007,36.241,7.25887036501608,8.85335830063867,3.61741030489474
2013,"non-mast","SU",10654,"F",8658.22935329347,6132.91245858287,2525.3168947106,59.005,8.72158807306647,7.8345177482131,4.0944278920834
2014,"mast","SU",10654,"F",11923.5222176184,11411.0499160015,512.472301616835,263.342,9.34242508631625,6.2411960875376,5.57724371931451
2015,"post-mast","SU",10654,"F",2628.62947812083,0,2628.62947812083,0.006,0,7.8745982324031,0.00598207167754747
2012,"non-mast","SU",10655,"M",38964.9118830864,567.450173054656,38397.4617100317,36.241,6.34291366300757,10.5557726781388,3.61741030489474
2009,"non-mast","SU",10657,"F",939.577549733976,819.886142124552,119.691407609424,38.197,6.7103844178919,4.79323693757798,3.66860021325556
2009,"non-mast","SU",10661,"F",4203.89821112397,2238.43930722185,1965.45890390211,38.197,7.71398080424053,7.58398969356151,3.66860021325556
2010,"mast","SU",10662,"M",18722.1741569127,17649.369353097,1072.8048038157,1155.84,9.77851198866357,6.97896351163808,7.0534474289533
2009,"non-mast","KL",10686,"F",1702.64504347524,1231.70066974805,470.944373727195,93.163,7.11696270787529,6.15686112636754,4.54502732310718
2010,"mast","KL",10686,"F",14086.257868535,12896.2596596018,1189.99820893321,1871.957,9.46477013829519,7.08254706551975,7.53527374435888
2011,"post-mast","KL",10686,"F",26138.0508778671,0,26138.0508778671,0.037,0,10.1711856773326,0.0363319292473902
2009,"non-mast","SU",10735,"F",515.204832726989,515.204832726989,0,38.197,6.24650364936194,0,3.66860021325556
2009,"non-mast","KL",10746,"F",0,0,0,93.163,0,0,4.54502732310718
2008,"non-mast","KL",10748,"F",3429.29381831932,2286.19587887955,1143.09793943977,43.465,7.73508183918746,7.0423717796737,3.7947023628516
